PKWiracocha;108;3;3
yopalch;48;7;6
KravchEI;79;7;11
ENROSCADO;70;19;15
GalinaN1k;75;0;5
denis1011101;267;12;16
Keklil;271;2;6
MarySharaveva;123;0;5
Shurik_Oy;18;0;1
yrcnbt;2;0;1
vasskko;137;8;8
fidg74;5;0;0
danilmua;7;0;0
DropADuce;20;27;35
enflaer;17;0;0
Rafael_E93;27;16;18
Marsh_F;42;4;9
anna_malgin;44;15;19
pishite_sv;49;9;13
Tricky_Mike;54;17;19
KukuNika;57;3;5
temych02;92;2;6
AleksanderKorobkin;110;10;16
GreyDog45;164;6;8
